Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0237620477978091,-0.00951376753341219,-0.0171474899831816,0,0,0,0.0800024299347004,8.60952255620185E-05,-2.71602100565745E-05,-8.77823585205834E-06,7.23334491491057E-05,-7.90469210781503E-06,0.000150604089423066,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/base_link.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/DX027-40201-上盖-电池.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/DX027-40108-上盖-外壳.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/DX027-40101-手掌底座.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/框架外壳模组.stp-1/DC014-拇指压板-上.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/框架外壳模组.stp-1/DX-V4.02-03-19 导光管.stp-1/DX-V4.02-03-19 导光管.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/框架外壳模组.stp-1/DX-V4.02-03-17 开关拨片.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1.stp-3;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1.stp-4;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1.stp-2;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1.stp-1,坐标系l_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
glove_link_l_1_1,0.00215560142754495,-0.00338440417553472,-0.0131214276652581,0,0,0,0.00385817376294998,2.65474228805464E-07,5.80436030551347E-09,-6.45383259850794E-09,2.67286944047061E-07,-3.27370896235781E-08,2.83530805186649E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_1.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-拇指旋转.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-11 拇指旋转.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-1,坐标系l_1_1,a_l_1_1,glove_joint_l_1_1,revolute,-0.020715,-0.061876,-0.050557,1.0492,-1.5085,-1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_1_2,-0.000703204608406425,0.0127309615060602,-0.00288011874599131,0,0,0,0.00199934411755508,1.41414956928775E-07,5.06018801001401E-09,-1.28468708917249E-09,5.78189712533849E-08,2.26574146128709E-08,1.4664936590257E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_2.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-02 过渡连接杆.5.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-8,坐标系l_1_2,a_l_1_2,glove_joint_l_1_2,revolute,0,0,-0.01925,-1.5708,-0.031013,0.054007,glove_link_l_1_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_1_3,-0.0300563092743552,0.0332984200920534,0.00327887867259335,0,0,0,0.00757179820464933,3.77017392153615E-06,2.69631166215014E-06,-1.55552183083546E-08,2.22970205318033E-06,6.16317027380728E-09,5.88485076738021E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_3.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-08 大拇指连杆1.1.2.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LD1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-6,坐标系l_1_3,a_l_1_3,glove_joint_l_1_3,revolute,0,0.0185,-0.0047,1.5708,-1.05,-1.5708,glove_link_l_1_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_1_4,0.0273027545361775,0.00433284522060241,0.00241784252720834,0,0,0,0.00546088824696822,1.23506944678846E-07,-1.2417028638521E-08,-2.00696983147469E-08,1.50198060851441E-06,7.83194829213286E-09,1.53449411036234E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_4.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/a2-1.stp-1/DX-V4.02-03-09 大拇指连杆2.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/a2-1.stp-1/DX-V4.02-03-04 芯轴.2.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/a2-1.stp-1/外壳-LD2.1.stp-1,坐标系l_1_4,a_l_1_4,glove_joint_l_1_4,revolute,-0.050645,0.068265,0,0,0,0,glove_link_l_1_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_1_5,0.00576308530627474,0.014171599806828,-1.24808354057954E-07,0,0,0,0.00340265417208615,2.7868121651168E-07,-4.89947732564642E-09,2.07336733183153E-12,1.06533376436027E-07,3.5068186754249E-12,2.61407891931897E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_1_5.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/a2-1.stp-1/DX-V4.02-03-13-03 指尖上卡座上盖.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/a2-1.stp-1/DX-V4.02-03-13-02 指尖上卡座.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13-01 指尖卡座.1.1.stp-1,坐标系l_1_5,a_l_1_5,glove_joint_l_1_5,revolute,0.049966,0.0018328,0,0,0,0,glove_link_l_1_4,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_2_1,-0.00074707906277232,0.012961159253253,-0.00251564874753502,0,0,0,0.00185408842429835,1.38265146008516E-07,5.67634614991445E-09,-9.85773115368726E-10,5.23525642639644E-08,2.30715567932656E-08,1.44653112488611E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_1.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-02 过渡连接杆.4.stp-2;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-2,坐标系l_2_1,a_l_2_1,glove_joint_l_2_1,revolute,0.074852,-0.024382,-0.017,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_2_2,-0.0432046013983184,0.0188212055356098,0.00192904185041391,0,0,0,0.0068903922112141,1.55217397079913E-06,2.28439863247048E-06,-2.02439178575775E-09,4.03823340950365E-06,-1.20328778786981E-08,5.50211235346778E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_2.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/盖板2.1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-05 食指连杆1.2.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-10,坐标系l_2_2,a_l_2_2,glove_joint_l_2_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_l_2_1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_2_3,0.0373474347253247,0.00422079684784249,0.00270019769934442,0,0,0,0.00556507337520378,1.54081930098524E-07,6.31575605463809E-08,-2.8104302514807E-09,2.78390324838341E-06,2.29428229032608E-09,2.85885256833783E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_3.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/盖板.2.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-03 食指连杆2.2.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1.stp-1/DX-V4.02-03-04 芯轴.10.stp-1,坐标系l_2_3,a_l_2_3,glove_joint_l_2_3,revolute,-0.073326,0.042996,0.0001,0,0,0,glove_link_l_2_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_2_4,0.00925770578391135,0.013031093961817,-5.34973035697106E-08,0,0,0,0.00329763544951626,2.60951577192895E-07,-5.29727231542044E-08,3.0279199227319E-12,1.09845605219125E-07,5.275988438918E-12,2.70313394997096E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_2_4.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1.stp-1/DX-V4.02-03-13-01 指尖卡座.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1.stp-1/指尖外壳.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1.stp-1/DX-V4.02-03-13-02 指尖上卡座.stp-1,坐标系l_2_4,a_l_2_4,glove_joint_l_2_4,revolute,0.064976,-0.00029093,-0.0001,0,0,0,glove_link_l_2_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_3_1,-0.000747078840296815,0.0129546180965885,-0.00252357247771677,0,0,0,0.00185408842429837,1.38265146203388E-07,5.67367844221647E-09,-9.89002493892456E-10,5.2298351932042E-08,2.30610980289715E-08,1.44707324625665E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_1.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-02 过渡连接杆.4.stp-4;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-7,坐标系l_3_1,a_l_3_1,glove_joint_l_3_1,revolute,0.076856,-0.0021271,-0.01675,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_3_2,-0.0437501124826072,0.0254656268701975,0.00193326740120344,0,0,0,0.0071496843467967,2.64000494609103E-06,3.10778126832265E-06,-8.35993249472875E-09,4.22336318311668E-06,-1.0016269102581E-08,6.77650104823507E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_2.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LZ1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-10 中指连杆1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-5,坐标系l_3_2,a_l_3_2,glove_joint_l_3_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_l_3_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_3_3,0.0373342057930102,0.00433582366792043,0.00270659893943644,0,0,0,0.00556507325680944,1.5371064986046E-07,5.51237761207029E-08,-2.81535762485774E-09,2.78427446468606E-06,2.28723741921278E-09,2.85885250610844E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_3.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-03 食指连杆2.1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/盖板.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2.stp-1/DX-V4.02-03-04 芯轴.10.stp-1,坐标系l_3_3,a_l_3_3,glove_joint_l_3_3,revolute,-0.073077,0.055905,0,0,0,0,glove_link_l_3_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_3_4,0.00925770578391089,0.0130310939352788,-5.36510005473816E-08,0,0,0,0.00329763544951589,2.60951577192856E-07,-5.29727231541635E-08,3.02854471916274E-12,1.09845605219242E-07,5.27788112034506E-12,2.70313394996938E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_3_4.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2.stp-1/DX-V4.02-03-13-02 指尖上卡座.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2.stp-1/指尖外壳.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.2.stp-1/DX-V4.02-03-13-01 指尖卡座.stp-1,坐标系l_3_4,a_l_3_4,glove_joint_l_3_4,revolute,0.064977,-8.5765E-05,0,0,0,0,glove_link_l_3_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_4_1,-0.000747078993101623,0.0129577992068581,-0.00250603431710536,0,0,0,0.00185408842429835,1.3826514606954E-07,5.67497610547909E-09,-9.81854074102805E-10,5.23183799984892E-08,2.31144907027588E-08,1.44687296693062E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_1.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-02 过渡连接杆.4.stp-3;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-9,坐标系l_4_1,a_l_4_1,glove_joint_l_4_1,revolute,0.072856,0.020125,-0.01675,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_4_2,-0.0430882899040309,0.0190905523140696,0.00192904188467153,0,0,0,0.0068903922604672,1.5804325678311E-06,2.2995843678296E-06,-2.09728895254043E-09,4.00997485860125E-06,-1.20162028673521E-08,5.50211239948494E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_2.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-05 食指连杆1.1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LS1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-3,坐标系l_4_2,a_l_4_2,glove_joint_l_4_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_l_4_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_4_3,0.0372362697275715,0.00510868025075294,0.00270446449822483,0,0,0,0.00556507377157851,1.52558984663054E-07,5.42590052565102E-10,-2.86280092212301E-09,2.78542635260807E-06,2.22776578805536E-09,2.85885271652033E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_3.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-03 食指连杆2.3.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LS2.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3.stp-1/DX-V4.02-03-04 芯轴.10.stp-1,坐标系l_4_3,a_l_4_3,glove_joint_l_4_3,revolute,-0.073065,0.043442,0,0,0,0,glove_link_l_4_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_4_4,0.00925770578391121,0.0130310939618166,-5.34973034621578E-08,0,0,0,0.00329763544951627,2.60951577192896E-07,-5.29727231542042E-08,3.02791992272296E-12,1.09845605219125E-07,5.27598843915435E-12,2.70313394997097E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_4_4.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3.stp-1/指尖外壳.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3.stp-1/DX-V4.02-03-13-02 指尖上卡座.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.3.stp-1/a2.stp-1/DX-V4.02-03-13-01 指尖卡座.stp-1,坐标系l_4_4,a_l_4_4,glove_joint_l_4_4,revolute,0.064965,0.0012591,0,0,0,0,glove_link_l_4_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_5_1,-0.000747078954178006,0.0129542339843109,-0.00250396981201667,0,0,0,0.00185408842429835,1.38265146103634E-07,5.6735226337136E-09,-9.81012496131226E-10,5.22967455932434E-08,2.31020742242029E-08,1.44708931064214E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_1.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-02 过渡连接杆.4.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-4,坐标系l_5_1,a_l_5_1,glove_joint_l_5_1,revolute,0.054856,0.040125,-0.01675,-3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_5_2,-0.0377511578271588,0.0103116211726412,0.00190290206976192,0,0,0,0.00576778339098753,5.60351175996028E-07,1.03378627042054E-06,1.85224331882328E-09,2.6996453140598E-06,-1.01214859658604E-08,3.18124981108029E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_2.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LX1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-06 小拇指连杆1.1.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-04 芯轴.10.stp-11,坐标系l_5_2,a_l_5_2,glove_joint_l_5_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_l_5_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_5_3,0.0319613063643107,0.0136906699135824,0.00266738763489565,0,0,0,0.00511704540818068,2.98887873245392E-07,-5.94487242216796E-07,-6.96632445507416E-09,2.00647361251658E-06,-3.90094664804683E-10,2.23244586171929E-06,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_3.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-07 小拇指连杆2.1.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/外壳-LX2.1.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4.stp-1/DX-V4.02-03-04 芯轴.10.stp-1,坐标系l_5_3,a_l_5_3,glove_joint_l_5_3,revolute,-0.065037,0.025888,0,0,0,0,glove_link_l_5_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_l_5_4,0.00925770578396984,0.0130310939550164,-5.3536446789626E-08,0,0,0,0.00329763544951616,2.60951577192409E-07,-5.29727231548738E-08,3.02807904616673E-12,1.09845605219631E-07,5.27647046786407E-12,2.70313394997056E-07,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v3/meshes/glove_link_l_5_4.STL,,数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4.stp-1/指尖外壳.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4.stp-1/DX-V4.02-03-13-02 指尖上卡座.stp-1;数采手套标定工装-0815.stp-1/数采手套-左.stp-1/数采手套-左-1.stp-1/五指模组.stp-1/DX-V4.02-03-13.00 指尖卡座组件.4.stp-1/DX-V4.02-03-13-01 指尖卡座.stp-1,坐标系l_5_4,a_l_5_4,glove_joint_l_5_4,revolute,0.056937,0.018926,0,0,0,0,glove_link_l_5_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
